Nazwa;id;Rok;Zasiêg ubóstwa (%);PKB per capita;Wyn brutto;Bezr rej;Obci¹¿ demo;Wsk urb;Lud miejska;Mieszkania na 1000 mieszkañców;Nak³ady inwestycyjne sek pry;Wy¿ wyk;Wsp fem;Wsk zat kob;Inflacja;Infl (¿yw);Infl (miesz);Eme i ren brutto;Eme i rent brutto rel do przec wyn brutto;Wyd pomspol
DOLNOŒL¥SKIE;1;2019;11,0 ;66512;5323,55;4,6;67,3;68,4;1984044;416,6;82,1;30,9;108;47;2,1;5;1,3;2292,13;0,47;11661278,84
DOLNOŒL¥SKIE;1;2020;11,3 ;69460;5693,69;5,6;67,7;67,9;1974680;432,1;81,1;32,8;108;47;3,1;4,5;5,5;2422,05;0,46;30724697,28
DOLNOŒL¥SKIE;1;2021;9,9 ;79686;6242,88;4,9;69;67,8;1964392;439,7;77,4;32,2;108;47,2;4,6;2,7;6,2;2593,47;0,45;16515271,62
DOLNOŒL¥SKIE;1;2022;9,0 ;88480;6945,01;4,5;70,1;67,5;1950542;448,2;76,6;32,1;108;46,8;13,4;15,2;18,1;2838,88;0,44;9423094,92
DOLNOŒL¥SKIE;1;2023;11,0 ;96997;7850,3;4,4;71;67,4;1939504;456;72,4;35,6;108;49,8;10,7;14,7;13,2;3331,92;0,46;6772921,06
DOLNOŒL¥SKIE;1;2024;12,2 ;103643;8867,46;4,6;71,4;67,1;1924741;463,2;70,2;37,9;108;48,5;3,3;3,1;4,2;3 812,65;0,47;54423064,56
KUJAWSKO-POMORSKIE;2;2019;19,7 ;48404;4494,37;7,9;65,6;58,9;1220444;366,6;59,4;21,8;106;43,6;2,3;5,2;1,1;2098,49;0,51;20319782,32
KUJAWSKO-POMORSKIE;2;2020;16,6 ;52331;4831,73;9;68,4;58,5;1188959;382,3;61,2;23,8;107;43,3;3,6;5,3;5,7;2219,07;0,51;28698005,92
KUJAWSKO-POMORSKIE;2;2021;20,4 ;59125;5286,83;8,1;69,5;58,3;1175552;388,3;62,7;24,8;107;45,8;5,1;3,4;6,4;2373,17;0,49;26805995,17
KUJAWSKO-POMORSKIE;2;2022;17,7 ;68130;5888,55;7,3;70,6;58,1;1166346;395,6;62;24,7;107;48,9;15,6;15,2;24,9;2597,62;0,48;25302215,25
